Loss,Mem,Throughput,lr
9.2172,47.052,468004.5783,0.692
9.2088,47.052,622774.2654,0.693
9.2529,47.052,531097.3221,0.694
9.2384,47.052,459162.0594,0.695
9.2815,47.052,526527.2103,0.696
9.1913,47.052,504284.6079,0.697
9.24,47.052,525803.1047,0.698
9.2599,47.052,478096.2217,0.699
9.2454,47.052,478635.3719,0.7
9.2256,47.052,509487.6891,0.701
9.2023,47.052,500459.6053,0.702
9.2203,47.052,506714.8716,0.703
9.2601,47.052,121505.9524,0.704
9.2252,47.052,482054.079,0.705
9.2025,47.052,465877.4106,0.706
9.1594,47.052,575454.7441,0.707
9.2302,47.052,416922.795,0.708
9.1925,47.052,507387.0495,0.709
9.2106,47.052,500177.6747,0.71
9.2458,47.052,464025.3953,0.711
9.1988,47.052,545236.9314,0.712
9.2114,47.052,550128.0833,0.713
9.1763,47.052,509191.7543,0.714
9.2297,47.052,455414.0233,0.715
9.1834,47.052,520563.2563,0.716
9.1588,47.052,583194.8688,0.717
9.1917,47.052,511582.2347,0.718
9.1648,47.052,122801.5129,0.719
9.184,47.052,487787.7475,0.72
9.173,47.052,408659.3344,0.721
9.1566,47.052,553388.0054,0.722
9.2018,47.052,460669.5074,0.723
9.1599,47.052,458958.473,0.724
9.1884,47.052,473035.2366,0.725
9.2126,47.052,480599.8298,0.726
9.1429,47.052,557966.0785,0.727
9.1163,47.052,478760.5499,0.728
9.1846,47.052,547885.0259,0.729
9.1696,47.052,454960.0555,0.73
9.1826,47.052,398728.7742,0.731
9.1032,47.052,507243.475,0.732
9.1555,47.052,439768.7615,0.733
9.1118,47.052,536187.3367,0.734
9.1405,47.052,133044.9399,0.735
9.1877,47.052,344338.1876,0.736
9.1037,47.052,531534.5969,0.737
9.1173,47.052,505083.9371,0.738
9.128,47.052,487792.0405,0.739
