train_acc,loss,0,1
49.089,1.6875,,
49.5,1.7162,,
50.0,1.7367,,
49.769,1.7385,,
49.554,1.7633,,
49.569,1.747,,
49.688,1.6953,,
49.597,1.6697,,
49.609,1.7027,,
49.716,1.6798,,
49.449,1.704,,
49.464,1.7344,,
49.132,1.7381,,
49.155,1.7496,,
49.26,1.7381,,
49.439,1.728,,
49.453,1.7161,,
49.466,1.7117,,
49.628,1.6985,,
49.564,1.7008,,
49.645,1.7047,,
50.0,1.7046,,
50.34,1.7125,,
50.598,1.7226,,
50.521,1.7262,,
50.829,1.7273,,
51.188,1.7373,,
51.287,1.7342,,
51.202,1.7268,,
51.297,1.7334,,
51.215,1.7335,,
51.307,1.7354,,
51.283,1.7295,,
51.425,1.724,,
51.347,1.7188,,
51.43,1.7211,,
51.771,1.7215,,
51.844,1.7179,,
51.764,1.7187,,
51.736,1.7136,,
51.611,1.7056,,
51.683,1.6995,,
51.847,1.6904,,
52.006,1.6962,,
52.16,1.6935,,
52.038,1.6842,,
51.741,1.6851,,
51.761,1.6889,,
51.693,1.6909,,
51.498,1.6905,,
51.647,1.6888,,
51.5,1.6903,,
51.48,1.6888,,
51.461,1.6899,,
51.562,1.687,,
51.661,1.682,,
51.719,1.682,,
51.89,1.6841,,
52.096,1.6814,,
52.071,1.6784,,
52.009,1.6768,,
52.059,1.6734,,
52.108,1.6694,,
52.191,1.6654,,
52.202,1.664,,
52.353,1.6695,,
52.396,1.6695,,
52.507,1.6744,,
52.548,1.6755,,
52.386,1.6751,,
52.427,1.6753,,
52.533,1.6772,,
52.604,1.6793,,
52.642,1.6788,,
52.838,1.6783,,
52.904,1.6766,,
52.906,1.6739,,
52.97,1.6707,,
53.125,1.6697,,
53.064,1.6669,,
53.095,1.6684,,
53.155,1.6639,,
53.213,1.6595,,
53.242,1.6571,,
53.212,1.653,,
53.24,1.6506,,
53.239,1.6525,,
53.35,1.652,,
53.488,1.6513,,
53.512,1.6482,,
53.673,1.6466,,
53.668,1.6471,,
53.718,1.6469,,
53.686,1.6452,,
53.708,1.6449,,
53.598,1.6442,,
53.672,1.6444,,
53.512,1.6414,,
53.509,1.6414,,
53.557,1.6405,,
53.528,1.6405,,
53.625,1.641,,
53.72,1.6397,,
53.666,1.6427,,
53.638,1.6436,,
53.585,1.6445,,
53.606,1.6425,,
53.698,1.6405,,
53.741,1.6399,,
53.712,1.6374,,
53.731,1.6369,,
53.611,1.6357,,
53.653,1.6362,,
53.581,1.6352,,
