Loss,Mem,Throughput,lr,0,1,2,3
8.6368,43.209,70370.1584,1.0,,,,
8.6516,43.209,66330.1579,1.0,,,,
8.6485,43.209,54946.6666,1.0,,,,
8.6814,43.209,74101.9444,1.0,,,,
8.6158,43.209,60813.2081,1.0,,,,
8.63,43.209,73119.5499,1.0,,,,
8.6121,43.209,64582.4311,1.0,,,,
8.5912,43.209,66578.3095,1.0,,,,
8.6888,43.209,59890.8527,1.0,,,,
8.6562,43.209,64560.7166,1.0,,,,
8.5998,43.209,69084.2456,1.0,,,,
8.6832,43.209,68374.2458,1.0,,,,
8.654,43.209,68246.1418,1.0,,,,
8.6305,43.209,55925.4885,1.0,,,,
8.6161,43.209,62956.7123,1.0,,,,
8.6647,43.209,69389.003,1.0,,,,
8.6747,43.209,65711.2382,1.0,,,,
8.6856,43.209,49491.8163,1.0,,,,
8.6033,43.209,67649.8452,1.0,,,,
