Loss,Mem,Throughput,lr,0,1,2,3
8.7265,43.609,27497.6608,1.0,,,,
8.7028,43.609,30254.7251,1.0,,,,
8.6475,43.609,28509.8872,1.0,,,,
8.6355,43.609,23658.7547,1.0,,,,
8.7286,43.609,23291.6386,1.0,,,,
8.6989,43.609,25347.0804,1.0,,,,
8.7023,43.603,27176.7963,1.0,,,,
8.6972,43.603,31138.0836,1.0,,,,
8.7275,43.603,20256.3548,1.0,,,,
8.6602,43.603,23237.8137,1.0,,,,
8.6999,43.603,20550.3698,1.0,,,,
8.7382,43.603,25404.0308,1.0,,,,
8.7235,43.603,24224.9007,1.0,,,,
8.688,43.603,26909.0998,1.0,,,,
8.6366,43.603,25450.5141,1.0,,,,
8.7283,43.603,33107.3895,1.0,,,,
8.6669,43.603,24440.4902,1.0,,,,
8.6403,43.603,30445.0783,1.0,,,,
8.7261,43.603,22637.5729,1.0,,,,
8.6869,43.603,32430.6305,1.0,,,,
8.6723,43.603,30541.7158,1.0,,,,
8.7093,43.603,29009.4736,1.0,,,,
8.682,43.603,26028.1387,1.0,,,,
8.6468,43.603,25480.96,1.0,,,,
8.6822,43.603,22829.6096,1.0,,,,
8.7361,43.603,26688.9483,1.0,,,,
8.7201,43.599,30053.4866,1.0,,,,
8.6324,43.599,28440.8033,1.0,,,,
8.6438,43.599,28243.0286,1.0,,,,
8.7112,43.599,27325.4324,1.0,,,,
8.6604,43.599,30260.4567,1.0,,,,
8.6739,43.599,27419.6178,1.0,,,,
8.6367,43.599,24281.7968,1.0,,,,
8.6693,43.599,29917.7252,1.0,,,,
8.6678,43.599,27822.4812,1.0,,,,
8.6615,43.599,29228.5678,1.0,,,,
8.6774,43.603,27212.6099,1.0,,,,
8.6742,43.603,22612.5503,1.0,,,,
8.6931,43.603,30451.0435,1.0,,,,
8.6323,43.603,27847.694,1.0,,,,
8.6509,43.603,30011.2153,1.0,,,,
8.6197,43.603,26534.4047,1.0,,,,
8.6025,43.603,27196.7693,1.0,,,,
8.7135,43.603,24578.431,1.0,,,,
8.6739,43.603,26403.641,1.0,,,,
8.6102,43.603,28578.4683,1.0,,,,
8.6962,43.604,28157.1408,1.0,,,,
8.6791,43.604,28044.8753,1.0,,,,
8.6506,43.604,23066.4871,1.0,,,,
8.6322,43.604,25934.5444,1.0,,,,
8.6793,43.604,28496.6081,1.0,,,,
8.6872,43.604,27078.1319,1.0,,,,
8.7009,43.604,20480.0281,1.0,,,,
